FIPS,,Age-Adjusted Death Rate,,,
0,,46,,,
21193,,125.6,,,
21197,,125.3,,,
2185,,124.9,,,
21189,,118.5,,,
12125,,113.5,,,
21147,,111.1,,,
21131,,110.3,,,
21159,,109.1,,,
21165,,106,,,
21109,,104.6,,,
5111,,103.5,,,
47139,,103.3,,,
21071,,98.7,,,
21045,,98.5,,,
29123,,98.5,,,
29133,,97.2,,,
21051,,96.5,,,
2180,,96.1,,,
21133,,96.1,,,
21235,,95.6,,,
21095,,95.3,,,
54045,,95.1,,,
47151,,94.9,,,
21183,,94.6,,,
21023,,92.7,,,
21115,,92.5,,,
29035,,92.3,,,
21223,,91.9,,,
5107,,90.8,,,
21129,,90.8,,,
29155,,90.5,,,
21099,,90.2,,,
21181,,89.6,,,
21103,,89.3,,,
21203,,89.2,,,
48461,,89.1,,,
47005,,89,,,
21075,,88.9,,,
47095,,88.9,,,
21033,,88,,,
21085,,87.9,,,
29223,,87.9,,,
28089,,87.4,,,
13239,,87.2,,,
21163,,87,,,
47013,,86.8,,,
21161,,86.6,,,
47153,,86.6,,,
54047,,86.6,,,
21119,,85.9,,,
21121,,85.9,,,
51105,,85.9,,,
21195,,85.4,,,
21127,,85.1,,,
47133,,84.8,,,
28081,,84.5,,,
29143,,84.5,,,
21171,,84.3,,,
51530,,84.3,,,
47025,,84.2,,,
12077,,84.1,,,
21207,,84.1,,,
21135,,84.1,,,
47029,,84.1,,,
21169,,84,,,
21077,,83.8,,,
26011,,83.8,,,
29083,,83.6,,,
5067,,83.5,,,
21065,,83.5,,,
5061,,83.1,,,
54059,,83.1,,,
47049,,83,,,
27087,,82.7,,,
5075,,82.3,,,
29181,,82,,,
47061,,81.9,,,
51690,,81.9,,,
21213,,81.7,,,
21139,,81.6,,,
21217,,81.6,,,
40127,,81.6,,,
47101,,81.6,,,
21175,,81.5,,,
29103,,81.5,,,
54085,,81.5,,,
54005,,81.5,,,
21091,,81.4,,,
47159,,81.4,,,
13035,,81.3,,,
18143,,81.2,,,
29069,,81.2,,,
29221,,81.1,,,
40029,,81.1,,,
54101,,81,,,
47083,,80.8,,,
18115,,80.6,,,
21221,,80.6,,,
29119,,80.6,,,
47021,,80.6,,,
21053,,80.5,,,
48315,,80.3,,,
17065,,80.2,,,
5021,,80.1,,,
20019,,80.1,,,
18155,,80,,,
21027,,80,,,
54109,,80,,,
18165,,79.9,,,
47087,,79.9,,,
1127,,79.8,,,
22087,,79.8,,,
21079,,79.6,,,
21231,,79.5,,,
51173,,79.5,,,
13083,,79.3,,,
18007,,79.3,,,
13267,,79.1,,,
54013,,79,,,
21055,,78.8,,,
47097,,78.7,,,
5105,,78.5,,,
28161,,78.4,,,
12067,,78.3,,,
29023,,78.3,,,
21225,,78.2,,,
28117,,78.2,,,
17039,,78.1,,,
21059,,78.1,,,
21005,,78,,,
21141,,77.8,,,
47109,,77.8,,,
12037,,77.7,,,
21237,,77.6,,,
40063,,77.6,,,
13233,,77.5,,,
47143,,77.5,,,
47111,,77.5,,,
21011,,77.4,,,
12075,,77.3,,,
21177,,77.3,,,
29177,,77.3,,,
47135,,77.3,,,
54043,,77.3,,,
28039,,76.9,,,
5073,,76.8,,,
22021,,76.8,,,
38039,,76.8,,,
29187,,76.7,,,
47079,,76.7,,,
51001,,76.7,,,
21031,,76.6,,,
28155,,76.6,,,
