 FIPS,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000"
0,62.4
1001,74.9
1003,66.9
1005,74.6
1007,86.4
1009,69.7
1011,65.8
1013,58.3
1015,84.2
1017,75.4
1019,82.4
1021,73.9
1023,49.2
1025,69.5
1027,83.3
1029,74.9
1031,71.5
1033,75.9
1035,73.5
1037,82.6
1039,83
1041,61.5
1043,69.6
1045,76.7
1047,76.2
1049,60.8
1051,78.1
1053,75.5
1055,81.9
1057,77.3
1059,72.4
1061,90.3
1063,87.9
1065,71
1067,66.5
1069,70.8
1071,80.9
1073,65.1
1075,80.4
1077,69.3
1079,88.1
1081,59.4
1083,73.4
1085,57.6
1087,57.9
1089,64.8
1091,61.6
1093,74.2
1095,79.4
1097,75.4
1099,62.3
1101,61
1103,80.4
1105,83.1
1107,65.6
1109,61.8
1111,75.5
1113,78.7
1115,74.7
1117,57.1
1119,55.5
1121,74
1123,70.5
1125,72.3
1127,98.3
1129,74.8
1131,73.2
1133,90.8
2013,* 
2016,* 
2020,61.5
2050,62.7
2060,* 
2068,* 
2070,* 
2090,58.1
2100,* 
2110,35.1
2122,64.9
2130,88.3
2150,74.7
2164,* 
2170,69.7
2180,103.6
2185,153.4
2188,67.6
2201,81.4
2220,44
2232,* 
2240,76.8
2261,66.1
2270,* 
2280,78.8
2282,* 
2290,58.3
4001,22.9
4003,46.9
4005,36.7
4007,54.3
4009,45.5
4011,64
4012,54.4
4013,52.2
4015,76.6
4017,39.6
4019,50.9
4021,45.5
4023,36.1
4025,51.9
4027,48
5001,85.9
5003,77
5005,85.6
5007,56.4
5009,67.7
5011,86.3
5013,82.5
5015,59.1
5017,76.4
5019,71.6
5021,108.7
5023,83.6
5025,77.5
5027,72
5029,75
5031,74.6
5033,79.1
5035,75.6
5037,77.5
5039,82.2
5041,79.2
5043,77.3
5045,75.9
5047,77.1
5049,64.7
5051,80.6
5053,96.1
5055,89.2
5057,60.6
5059,94.2
5061,96.2
5063,82.3
5065,55.9
5067,104.4
5069,97.5
5071,97.2
5073,98.1
5075,102.7
5077,57
5079,63.4
5081,79.5
5083,87
5085,91.9
5087,67.8
5089,82.7
5091,81.2
5093,73.6
5095,89.5
5097,67.5
5099,69.2
5101,63.9
5103,84
5105,98.8
5107,88.1
5109,87.8
5111,114
5113,67.1
5115,86.3
5117,89
5119,68
5121,83.9
5123,65.2
5125,73.9
5127,91.5
5129,72.1
5131,78.2
5133,70.4
5135,89.3
5137,66.5
5139,89
5141,65.1
5143,67.1
5145,91.2
5147,108.5
5149,88.1
6001,46
6003,* 
6005,58.7
6007,61.4
6009,52.3
6011,56
6013,49.2
6015,78.4
6017,50
6019,50.8
6021,61.2
6023,56.4
6025,44.3
6027,45.7
6029,55.7
6031,48.8
6033,73.7
6035,60.9
6037,39.9
6039,51.8
6041,41.6
6043,54.6
6045,52.2
6047,56.9
6049,43.7
6051,24.6
6053,42.6
6055,53.3
6057,47.3
6059,44.1
6061,49.6
6063,44.2
6065,47.2
6067,56.9
6069,40.2
6071,49.5
6073,49
6075,49
6077,56.8
6079,46.9
6081,45.3
6083,42.1
6085,41.1
6087,37.6
6089,62.5
6091,* 
6093,60.5
6095,58.1
6097,49.5
6099,57.4
6101,56.3
6103,65.2
6105,66.6
6107,47.9
6109,58
6111,41.5
6113,42.3
6115,68.1
8001,52.6
8003,47.9
8005,47.5
8007,31.7
8009,78.2
8011,44
8013,35.5
8014,48.4
8015,36.9
8017,* 
8019,38.1
8021,34.7
8023,* 
8025,* 
8027,59.5
8029,46.3
8031,48.5
8033,* 
8035,37.1
8037,28.3
8039,47.5
8041,50.3
8043,56.4
8045,43.2
8047,* 
8049,47.5
8051,24.8
8053,* 
8055,59.2
8057,* 
8059,43.7
8061,* 
8063,55.1
8065,* 
8067,34.4
8069,39.7
8071,46.9
8073,53.5
8075,36.4
8077,56.1
8079,* 
8081,40
8083,40.2
8085,49.6
8087,49.5
8089,40.5
8091,* 
8093,35.8
8095,53
8097,24.1
8099,67.3
8101,49.8
8103,* 
8105,29.2
8107,31.5
8109,60.6
8111,* 
8113,* 
8115,* 
8117,14.8
8119,41.1
8121,* 
8123,45.7
8125,62.5
9001,54.9
9003,62
9005,62.5
9007,65.7
9009,70.2
9011,68.7
9013,62.7
9015,65
10001,79.2
10003,67.3
10005,74.2
11001,59
12001,67.8
12003,99.5
12005,88.4
12007,82.1
12009,74.2
12011,53.5
12013,78.2
12015,62.3
12017,79.7
12019,79.2
12021,43.3
12023,88.2
12027,57.7
12029,100
12031,78.1
12033,78.4
12035,67.7
12037,93.4
12039,66.4
12041,74.3
12043,54.9
12045,92.6
12047,67.8
12049,69
12051,65.2
12053,74.9
12055,73.3
12057,69.7
12059,71.2
12061,67
12063,48.4
12065,42.5
12067,97.3
12069,76
12071,59.2
12073,54.8
12075,103.5
12077,73.3
12079,54.8
12081,59
12083,82
12085,59.6
12086,44.4
12087,54.6
12089,81.2
12091,71.8
12093,93.3
12095,57.6
12097,54.7
12099,54.1
12101,75.9
12103,68.9
12105,74.4
12107,97.2
12109,65.2
12111,64.5
12113,74.9
12115,57.6
12117,54.2
12119,65.3
12121,87.2
12123,84.4
12125,203.7
12127,70.8
12129,95.9
12131,74.3
12133,74.7
13001,74.4
13003,59.4
13005,87.5
13007,72.9
13009,73.5
13011,65.2
13013,89.6
13015,91.3
13017,84
13019,78.2
13021,79.4
13023,72.3
13025,87.8
13027,76.9
13029,84.3
13031,78.6
13033,85.9
13035,95.7
13037,63.4
13039,67.4
13043,82.9
13045,83.9
13047,65.6
13049,60
13051,65.2
13053,84.3
13055,101.5
13057,73.2
13059,61.8
13061,64.1
13063,65.1
13065,86.9
13067,60.3
13069,79.5
13071,89.5
13073,61.4
13075,90
13077,65
13079,100.7
13081,72.3
13083,79.7
13085,74.1
13087,70.4
13089,53.2
13091,81.3
13093,58.6
13095,73.4
13097,81.1
13099,61.5
13101,* 
13103,85.2
13105,73.4
13107,67.6
13109,68.8
13111,73.2
13113,47.4
13115,81.1
13117,60.6
13119,81.4
13121,54.5
13123,76.1
13125,* 
13127,71.9
13129,94.7
13131,74
13133,69.9
13135,51.8
13137,64.4
13139,61.2
13141,38.8
13143,94.4
13145,62
13147,69
13149,104.6
13151,60.3
13153,73.2
13155,83.4
13157,78.4
13159,78.7
13161,76.2
13163,62.8
13165,68.6
13167,65.4
13169,79.9
13171,86.5
13173,77.2
13175,69.5
13177,83.2
13179,76.8
13181,65.3
13183,88.9
13185,65.3
13187,72.3
13189,69.5
13191,55
13193,69
13195,90.4
13197,64.6
13199,66.8
13201,89.1
13205,85.1
13207,72.7
13209,71.7
13211,65.5
13213,103.1
13215,70.3
13217,78.9
13219,46.8
13221,75.4
13223,77.7
13225,77.9
13227,82.3
13229,80.1
13231,75.6
13233,102
13235,50.6
13237,74.4
13239,110.8
13241,67.1
13243,56.6
13245,72.7
13247,60.7
13249,69.9
13251,79.1
13253,66.4
13255,74.3
13257,76.8
13259,65.5
13261,63.1
13263,73.2
13265,* 
13267,100.8
13269,54.2
13271,55.1
13273,63
13275,74.5
13277,71.4
13279,74
13281,62.4
13283,78.5
13285,71.1
13287,80.4
13289,91.8
13291,70.4
13293,87.8
13295,84.3
13297,67.9
13299,70.6
13301,84.9
13303,68.2
13305,76.2
13307,* 
13309,62.8
13311,69.8
13313,77.6
13315,64.9
13317,66
13319,79.9
13321,70.8
15001,44.9
15003,48.3
15005,* 
15007,45.2
15009,43.2
16001,52.2
16003,69.5
16005,41
16007,* 
16009,79
16011,38.7
16013,22.6
16015,69.2
16017,54.3
16019,35.7
16021,46.3
16023,* 
16025,* 
16027,56.1
16029,* 
16031,34
16033,* 
16035,55.4
16037,52.4
16039,72.4
16041,* 
16043,40.4
16045,67.1
16047,66.9
16049,48.2
16051,33.9
16053,48
16055,56.6
16057,50.6
16059,46.5
16061,66.5
16063,* 
16065,* 
16067,54.8
16069,69.3
16071,* 
16073,40.7
16075,64.8
16077,41.4
16079,98.7
16081,* 
16083,53.4
16085,41.3
16087,68.3
17001,74.1
17003,93.5
17005,70.2
17007,66.3
17009,81.4
17011,69.6
17013,81.4
17015,54
17017,89.7
17019,62.4
17021,94.1
17023,75.5
17025,79.5
17027,63.6
17029,80.4
17031,63.4
17033,88.9
17035,89.1
17037,72.8
17039,94.3
17041,66.3
17043,56.1
17045,76.6
17047,88.7
17049,67.5
17051,58
17053,66.8
17055,103.4
17057,74.9
17059,87.9
17061,72.7
17063,90
17065,85.2
17067,74.4
17069,90.3
17071,78.2
17073,74.9
17075,72
17077,69
17079,67.3
17081,92.7
17083,78.7
17085,55.9
17087,83.6
17089,58.9
17091,73.6
17093,54.6
17095,69.1
17097,58.2
17099,76.4
17101,88.2
17103,66.9
17105,81.6
17107,90.7
17109,63.1
17111,65.3
17113,64.1
17115,96.6
17117,79.5
17119,83.5
17121,91.5
17123,58.5
17125,92.3
17127,100.9
17129,75.9
17131,76.7
17133,60.9
17135,86.5
17137,77.6
17139,56.9
17141,66.7
17143,84
17145,74.4
17147,79.8
17149,68.4
17151,105.5
17153,113.1
17155,73.5
17157,78.6
17159,81.6
17161,66.8
17163,75.8
17165,91.8
17167,77.6
17169,82.9
17171,83.2
17173,77.1
17175,77.3
17177,63.8
17179,87.2
17181,102.7
17183,86.4
17185,91.6
17187,74
17189,74.1
17191,89.2
17193,81.2
17195,71.8
17197,72
17199,97.5
17201,74
17203,61
18001,50.2
18003,61.9
18005,77.8
18007,82.7
18009,74.9
18011,67
18013,61.8
18015,66.1
18017,89.5
18019,88.1
18021,73.8
18023,76.2
18025,94.6
18027,62.8
18029,82.3
18031,69.6
18033,68.5
18035,79.9
18037,55
18039,70.2
18041,87.4
18043,79.3
18045,82.3
18047,64.7
18049,83.8
18051,70
18053,85.5
18055,81.1
18057,46.7
18059,83.1
18061,90.7
18063,69.9
18065,76.6
18067,75
18069,65
18071,81.4
18073,85.6
18075,68.9
18077,81.7
18079,97.9
18081,67.9
18083,76
18085,71.6
18087,56.4
18089,74
18091,77.2
18093,89.5
18095,81.8
18097,79.7
18099,67.1
18101,71.5
18103,77.1
18105,66.9
18107,70
18109,83.9
18111,75.3
18113,69
18115,123.2
18117,85.4
18119,85
18121,75.1
18123,101.2
18125,66.6
18127,73.6
18129,60.3
18131,71.1
18133,95.1
18135,83.1
18137,75.6
18139,80.8
18141,71.5
18143,91.8
18145,81.8
18147,77.9
18149,93.5
18151,71
18153,81.8
18155,84.7
18157,64
18159,73.3
18161,65.2
18163,79.6
18165,92.6
18167,80.4
18169,64.3
18171,66
18173,66.7
18175,96.2
18177,85.2
18179,52.4
18181,76.2
18183,63.8
19001,65.2
19003,68.9
19005,39.9
19007,78.5
19009,42.4
19011,67.5
19013,72.5
19015,61.3
19017,41.6
19019,82.8
19021,40.9
19023,45.4
19025,54.6
19027,60.8
19029,73.2
19031,66.5
19033,65.8
19035,47.6
19037,52.9
19039,70.6
19041,57.8
19043,60.3
19045,64.1
19047,54.8
19049,61.6
19051,53.6
19053,65
19055,38.4
19057,86.7
19059,59.6
19061,59.4
19063,69.8
19065,59.9
19067,65.7
19069,54.7
19071,76.2
19073,63.7
19075,48.7
19077,55.6
19079,64.7
19081,58.8
19083,58.5
19085,86.4
19087,70.4
19089,41.9
19091,54.5
19093,55.6
19095,47.5
19097,66.1
19099,72.4
19101,49.5
19103,50.5
19105,57.8
19107,68.1
19109,58
19111,73.2
19113,65.7
19115,64.1
19117,60.1
19119,45.2
19121,58.2
19123,79.1
19125,57.4
19127,65.8
19129,73.1
19131,48.2
19133,58.3
19135,74.8
19137,59
19139,62.8
19141,53.2
19143,52.1
19145,98
19147,61.1
19149,54.9
19151,52.4
19153,75.3
19155,84.6
19157,43.4
19159,46.1
19161,57.4
19163,72.7
19165,52.4
19167,43.1
19169,56
19171,65.3
19173,57.9
19175,74.3
19177,75.4
19179,78.5
19181,69.5
19183,52.9
19185,63.7
19187,67.6
19189,61.3
19191,36
19193,71.5
19195,45.3
19197,56.1
20001,_ 
20003,_ 
20005,_ 
20007,_ 
20009,_ 
20011,_ 
20013,_ 
20015,_ 
20017,_ 
20019,_ 
20021,_ 
20023,_ 
20025,_ 
20027,_ 
20029,_ 
20031,_ 
20033,_ 
20035,_ 
20037,_ 
20039,_ 
20041,_ 
20043,_ 
20045,_ 
20047,_ 
20049,_ 
20051,_ 
20053,_ 
20055,_ 
20057,_ 
20059,_ 
20061,_ 
20063,_ 
20065,_ 
20067,_ 
20069,_ 
20071,_ 
20073,_ 
20075,_ 
20077,_ 
20079,_ 
20081,_ 
20083,_ 
20085,_ 
20087,_ 
20089,_ 
20091,_ 
20093,_ 
20095,_ 
20097,_ 
20099,_ 
20101,_ 
20103,_ 
20105,_ 
20107,_ 
20109,_ 
20111,_ 
20113,_ 
20115,_ 
20117,_ 
20119,_ 
20121,_ 
20123,_ 
20125,_ 
20127,_ 
20129,_ 
20131,_ 
20133,_ 
20135,_ 
20137,_ 
20139,_ 
20141,_ 
20143,_ 
20145,_ 
20147,_ 
20149,_ 
20151,_ 
20153,_ 
20155,_ 
20157,_ 
20159,_ 
20161,_ 
20163,_ 
20165,_ 
20167,_ 
20169,_ 
20171,_ 
20173,_ 
20175,_ 
20177,_ 
20179,_ 
20181,_ 
20183,_ 
20185,_ 
20187,_ 
20189,_ 
20191,_ 
20193,_ 
20195,_ 
20197,_ 
20199,_ 
20201,_ 
20203,_ 
20205,_ 
20207,_ 
20209,_ 
21001,91.2
21003,82.9
21005,95.1
21007,94.3
21009,106.9
21011,109
21013,99.5
21015,86
21017,93.4
21019,92.7
21021,77.6
21023,120.6
21025,105.7
21027,110.2
21029,90.9
21031,87.2
21033,103.9
21035,79.1
21037,94.5
21039,95.2
21041,120.7
21043,103
21045,108.6
21047,84.9
21049,93.4
21051,118.6
21053,111.7
21055,76.6
21057,96.4
21059,110.2
21061,85.6
21063,73.8
21065,124.6
21067,74
21069,90.5
21071,149.4
21073,93
21075,112.4
21077,104
21079,97.8
21081,95.8
21083,85.8
21085,129.7
21087,86.4
21089,107.4
21091,81.9
21093,101.5
21095,127.6
21097,95.8
21099,114.5
21101,97.8
21103,109.3
21105,80
21107,89.9
21109,118.3
21111,89.6
21113,89
21115,113
21117,90.3
21119,116.1
21121,125
21123,74.6
21125,89.1
21127,113.9
21129,117.7
21131,151.8
21133,118.5
21135,112.6
21137,98.5
21139,113.1
21141,103.5
21143,86.4
21145,80.9
21147,157.5
21149,101.7
21151,91.6
21153,109.7
21155,100.8
21157,82.9
21159,145.1
21161,123.7
21163,118.1
21165,124.6
21167,93.3
21169,107.7
21171,106.8
21173,94.8
21175,98.9
21177,102.6
21179,90.4
21181,106.5
21183,124.8
21185,77.2
21187,91.2
21189,148.1
21191,97.9
21193,139.7
21195,123
21197,152.9
21199,93.6
21201,111.8
21203,118.1
21205,92.4
21207,102.4
21209,87.3
21211,76.6
21213,106.5
21215,84.8
21217,100.2
21219,83.1
21221,94.6
21223,113.2
21225,106.4
21227,91.3
21229,80.5
21231,101.7
21233,109.1
21235,122.4
21237,118.3
21239,68.2
22001,79.6
22003,71.2
22005,68.6
22007,77.8
22009,85.2
22011,76.4
22013,82
22015,75.3
22017,69
22019,68.4
22021,95.2
22023,64.1
22025,93
22027,69.5
22029,76.7
22031,80.7
22033,56.4
22035,98
22037,61.1
22039,81.8
22041,77.2
22043,100.8
22045,78.2
22047,92.2
22049,80.5
22051,67.4
22053,81.8
22055,69.9
22057,70.9
22059,87.6
22061,60.7
22063,81.6
22065,66.7
22067,76.1
22069,66
22071,67.6
22073,78.3
22075,70.4
22077,53.5
22079,68.9
22081,57.9
22083,79
22085,66.5
22087,97.4
22089,71.2
22091,64.3
22093,58
22095,61.6
22097,80.3
22099,75.1
22101,66.6
22103,67.3
22105,79.3
22107,58.5
22109,76.2
22111,78.9
22113,77.5
22115,91.7
22117,92
22119,86.3
22121,71.5
22123,78.5
22125,80.1
22127,80.3
23001,78.1
23003,84.1
23005,68.3
23007,57.7
23009,68.8
23011,75.6
23013,72
23015,50.8
23017,85.6
23019,84.4
23021,75.8
23023,66
23025,84.3
23027,83.6
23029,87.8
23031,71.7
24001,78.1
24003,64.3
24005,67.6
24009,64.7
24011,75.1
24013,61
24015,79.2
24017,55.4
24019,73.1
24021,52.7
24023,49.5
24025,68.6
24027,44.4
24029,61.1
24031,35.4
24033,46.6
24035,63.9
24037,68.8
24039,95.9
24041,51.1
24043,71.8
24045,79.4
24047,70.2
24510,80.9
25001,60
25003,70
25005,72.9
25007,53.7
25009,67.5
25011,52.1
25013,67.8
25015,52.5
25017,61.8
25019,52.8
25021,63
25023,72.4
25025,69.7
25027,69.8
26001,66.2 #  
26003,48.6 #  
26005,53.7 #  
26007,77.1 #  
26009,59.1 #  
26011,104.9 #  
26013,74.9 #  
26015,45.3 #  
26017,60.7 #  
26019,71.4 #  
26021,69.7 #  
26023,61.6 #  
26025,71.1 #  
